sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU001,Bedding,Bedsheet,2024-09-27,3740.37,6877.76
SKU002,Kitchen,Dinnerware,2024-08-02,572.99,1191.57
SKU003,Bedding,Comforter,2024-05-31,3359.18,4537.48
SKU004,Bedding,Pillow,2024-10-20,303.66,665.92
SKU005,Furniture,Sofa,2024-11-09,2766.36,4671.69
SKU006,Furniture,Shelf,2024-02-28,2179.35,2924.69
SKU007,Bedding,Comforter,2024-09-27,2443.53,4903.33
SKU008,Home Decor,Decorative Item,2024-02-24,4921.19,8464.87
SKU009,Lighting,Ceiling Light,2024-05-14,1101.46,1496.38
SKU010,Bedding,Bedsheet,2024-11-11,2947.45,4854.08
SKU011,Kitchen,Cookware,2024-12-05,1432.82,2743.76
SKU012,Bedding,Bedsheet,2024-09-20,461.63,977.91
SKU013,Bedding,Pillow,2024-12-25,3850.2,6478.5
SKU014,Bath,Bath Mat,2024-09-16,1168.82,2539.41
SKU015,Kitchen,Appliances,2024-06-10,2157.21,4603.47
SKU016,Bath,Shower Curtain,2024-09-08,512.57,816.42
SKU017,Lighting,Floor Lamp,2024-02-22,3057.73,6631.39
SKU018,Bedding,Comforter,2024-02-10,1692.49,2451.98
SKU019,Furniture,Shelf,2024-01-09,3929.55,5811.19
SKU020,Home Decor,Candle,2024-03-21,3643.31,7327.27
SKU021,Home Decor,Wall Decor,2024-08-18,3360.06,7134.97
SKU022,Furniture,Sofa,2024-09-24,1855.22,2517.91
SKU023,Bath,Storage,2024-10-19,3729.15,6987.69
SKU024,Home Decor,Candle,2024-08-14,862.09,1674.11
SKU025,Furniture,Chair,2024-08-05,1409.13,2156.62
SKU026,Home Decor,Wall Decor,2024-07-25,2309.44,3055.11
SKU027,Lighting,Ceiling Light,2024-03-03,4510.09,7792.68
SKU028,Lighting,Pendant,2024-08-09,954.86,1760.74
SKU029,Home Decor,Wall Decor,2024-02-05,4731.41,8700.96
SKU030,Home Decor,Vase,2024-10-10,4669.58,9466.68
SKU031,Furniture,Chair,2024-05-13,2445.71,3660.24
SKU032,Bedding,Pillow,2024-11-26,1824.42,2572.21
SKU033,Furniture,Shelf,2024-07-08,817.24,1230.06
SKU034,Bath,Towel,2024-04-25,1957.07,3081.02
SKU035,Bath,Storage,2024-05-16,2578.7,4959.34
SKU036,Kitchen,Appliances,2024-05-31,4731.68,7527.55
SKU037,Furniture,Sofa,2024-04-22,604.99,924.74
SKU038,Bedding,Pillow,2024-10-21,2637.07,4142.28
SKU039,Furniture,Sofa,2024-03-21,1553.87,3385.81
SKU040,Bedding,Pillow,2024-12-08,1609.64,3408.31
SKU041,Home Decor,Vase,2024-05-09,2795.39,4760.56
SKU042,Bath,Storage,2024-09-03,3459.04,6867.78
SKU043,Home Decor,Wall Decor,2024-09-11,4074.76,7021.91
SKU044,Kitchen,Storage,2024-08-27,4052.22,5817.55
SKU045,Home Decor,Vase,2024-12-14,4334.29,6906.1
SKU046,Bedding,Blanket,2024-12-11,2706.84,4070.67
SKU047,Bedding,Bedsheet,2024-05-07,2733.43,5614.3
SKU048,Home Decor,Decorative Item,2024-05-30,2844.81,5479.69
SKU049,Bedding,Comforter,2024-12-11,4916.19,8676.94
SKU050,Furniture,Table,2024-10-30,4837.47,8719.37
SKU051,Home Decor,Candle,2024-01-09,1610.7,3109.17
SKU052,Home Decor,Decorative Item,2024-05-31,2201.19,4620.28
SKU053,Bedding,Blanket,2024-04-22,1059.65,2234.48
SKU054,Bedding,Pillow,2024-08-14,2049.73,4398.97
SKU055,Furniture,Chair,2024-12-03,2582.38,4399.3
SKU056,Lighting,Table Lamp,2024-06-09,384.95,671.55
SKU057,Bedding,Comforter,2024-05-14,3688.42,5817.58
SKU058,Bedding,Blanket,2024-01-22,1446.75,3147.71
SKU059,Lighting,Ceiling Light,2024-09-20,3266.35,6582.77
SKU060,Bath,Towel,2024-10-10,3443.94,7155.65
SKU061,Bedding,Bedsheet,2024-10-30,1619.63,2140.96
SKU062,Furniture,Sofa,2024-01-17,4974.39,8570.63
SKU063,Bath,Towel,2024-01-06,2039.75,2680.05
SKU064,Lighting,Table Lamp,2024-10-28,4843.28,10496.64
SKU065,Furniture,Sofa,2024-07-09,1736.78,2556.23
SKU066,Furniture,Sofa,2024-11-18,1096.62,1975.15
SKU067,Bath,Bath Mat,2024-11-18,2979.29,4133.64
SKU068,Bath,Shower Curtain,2024-05-06,2736.15,5717.56
SKU069,Furniture,Sofa,2024-10-25,3631.88,6528.44
SKU070,Kitchen,Dinnerware,2024-01-26,4107.53,8545.16
SKU071,Lighting,Pendant,2024-11-08,3251.1,4794.87
SKU072,Bath,Storage,2024-05-21,4483.03,7191.66
SKU073,Bedding,Pillow,2024-11-17,2360.83,4496.96
SKU074,Home Decor,Wall Decor,2024-07-04,2850.43,4440.65
SKU075,Kitchen,Storage,2024-12-07,1476.18,1970.63
SKU076,Bath,Shower Curtain,2024-04-10,2754.54,5489.78
SKU077,Bedding,Comforter,2024-01-05,2449.15,5039.91
SKU078,Bedding,Pillow,2024-02-16,3587.71,5110.76
SKU079,Lighting,Floor Lamp,2024-05-03,3658.6,4891.4
SKU080,Home Decor,Decorative Item,2024-02-27,668.74,884.62
SKU081,Lighting,Floor Lamp,2024-10-05,2313.08,4440.3
SKU082,Furniture,Table,2024-05-01,1035.25,1578.98
SKU083,Bath,Bath Mat,2024-02-17,1159.47,2482.6
SKU084,Furniture,Sofa,2024-07-07,3768.12,6778.54
SKU085,Bath,Towel,2024-09-03,524.27,948.63
SKU086,Home Decor,Wall Decor,2024-03-26,367.65,516.35
SKU087,Lighting,Ceiling Light,2024-04-03,4320.66,8353.1
SKU088,Bedding,Comforter,2024-08-05,3887.81,7877.56
SKU089,Bedding,Bedsheet,2024-09-10,2339.1,3879.76
SKU090,Kitchen,Storage,2024-11-20,4467.4,6856.58
SKU091,Kitchen,Storage,2024-05-26,2664.74,5518.25
SKU092,Lighting,Table Lamp,2024-01-04,3194.5,6866.59
SKU093,Kitchen,Cookware,2024-06-08,4719.08,8578.94
SKU094,Kitchen,Dinnerware,2024-02-02,2453.79,4394.87
SKU095,Lighting,Pendant,2024-11-18,4156.01,7839.63
SKU096,Home Decor,Decorative Item,2024-10-11,626.0,870.58
SKU097,Kitchen,Cookware,2024-08-29,3510.13,4788.06
SKU098,Lighting,Floor Lamp,2024-03-30,1900.94,2917.23
SKU099,Bedding,Pillow,2024-04-23,3256.03,6804.21
SKU100,Bedding,Bedsheet,2024-10-03,4847.63,8692.65
